Year,Month_name,TotalAccident,TotalPedestrian
2021,Jan,1226,
2021,Feb,1164,
2021,Mar,1544,
2021,Apr,1356,
2021,May,1312,
2021,Jun,1137,
2021,Jul,1128,9222311
2021,Aug,879,5311211
2021,Sep,812,4760786
2021,Oct,970,6508280
2021,Nov,1202,11601384
2021,Dec,1259,15217653
2022,Jan,1033,10610987
2022,Feb,1261,11575909
2022,Mar,1462,15984124
2022,Apr,1241,17150544
2022,May,1331,15184216
2022,Jun,1166,14841199
2022,Jul,1225,16768647
2022,Aug,1246,15617710
2022,Sep,1185,16718835
2022,Oct,1272,17276208
2022,Nov,1247,17218722
2022,Dec,1335,20557863
2023,Jan,1264,18781586
2023,Feb,1285,17045005
2023,Mar,1452,21551490
2023,Apr,1238,19613707
2023,May,1344,19029685
2023,Jun,1187,19493262
2023,Jul,1355,21898978
2023,Aug,1265,21308168
2023,Sep,1260,20521980
2023,Oct,1266,22230933
2023,Nov,1296,23216807
2023,Dec,,25406405
